request_id,app_id,point_x,point_y,entry_node,node_1,node_2,node_3,propagation_ms,processing_ms,latency_max_ms,slo_violation,total_ms,status
732,APP-COM,1.624954,6.150022,UAV-020,UAV-035,UAV-083,UAV-090,2914.613381,120.000000,1600.000000,YES,3034.613381,OK
733,APP-COM,0.683148,6.002078,UAV-020,UAV-036,UAV-006,UAV-224,2885.140612,120.000000,1600.000000,YES,3005.140612,OK
734,APP-COM,2.698867,7.712494,UAV-025,UAV-041,UAV-083,UAV-090,2925.178390,120.000000,1600.000000,YES,3045.178390,OK
735,APP-COM,1.285414,6.193674,UAV-020,UAV-046,UAV-005,UAV-224,2804.873642,120.000000,1600.000000,YES,2924.873642,OK
736,APP-COM,2.601277,7.613279,UAV-025,UAV-051,UAV-029,UAV-287,2993.520912,120.000000,1600.000000,YES,3113.520912,OK
737,APP-COM,1.562150,7.791591,UAV-025,UAV-053,UAV-058,UAV-287,2996.102229,120.000000,1600.000000,YES,3116.102229,OK
738,APP-COM,3.587610,6.868341,UAV-233,UAV-031,UAV-063,UAV-232,3261.574971,120.000000,1600.000000,YES,3381.574971,OK
739,APP-COM,2.157637,6.037308,UAV-020,UAV-056,UAV-241,UAV-037,3050.721190,120.000000,1600.000000,YES,3170.721190,OK
740,APP-COM,4.246595,7.046446,UAV-233,UAV-031,UAV-003,UAV-054,3176.954634,120.000000,1600.000000,YES,3296.954634,OK
741,APP-COM,2.652006,6.634128,UAV-233,UAV-031,UAV-067,UAV-065,3451.463914,120.000000,1600.000000,YES,3571.463914,OK
742,APP-COM,4.249053,7.337351,UAV-233,UAV-031,UAV-007,UAV-284,2981.056028,120.000000,1600.000000,YES,3101.056028,OK
743,APP-COM,1.166392,6.588072,UAV-020,UAV-196,UAV-068,UAV-302,2894.836834,120.000000,1600.000000,YES,3014.836834,OK
744,APP-COM,1.122969,7.351703,UAV-025,UAV-199,UAV-071,UAV-200,2957.126627,120.000000,1600.000000,YES,3077.126627,OK
745,APP-COM,2.560452,6.876713,UAV-025,UAV-201,UAV-083,UAV-090,3152.801753,120.000000,1600.000000,YES,3272.801753,OK
746,APP-COM,3.576633,7.307849,UAV-233,UAV-031,UAV-007,UAV-284,3141.039504,120.000000,1600.000000,YES,3261.039504,OK
747,APP-COM,2.686098,7.592343,UAV-025,UAV-235,UAV-060,UAV-232,2811.653286,120.000000,1600.000000,YES,2931.653286,OK
748,APP-COM,4.882505,7.919725,UAV-038,UAV-296,UAV-068,UAV-246,456.662704,120.000000,1600.000000,NO,576.662704,OK
749,APP-COM,2.044491,6.177249,UAV-020,UAV-238,UAV-005,UAV-223,3093.161556,120.000000,1600.000000,YES,3213.161556,OK
750,APP-COM,0.800326,6.620867,UAV-020,UAV-288,UAV-029,UAV-287,3079.919396,120.000000,1600.000000,YES,3199.919396,OK
751,APP-COM,1.648223,7.404892,UAV-025,UAV-289,UAV-029,UAV-287,2917.691288,120.000000,1600.000000,YES,3037.691288,OK
752,APP-COM,4.406362,7.101070,UAV-233,UAV-031,UAV-003,UAV-284,3439.418522,120.000000,1600.000000,YES,3559.418522,OK
753,APP-COM,3.013366,6.045327,UAV-031,UAV-031,UAV-005,UAV-224,2126.745759,120.000000,1600.000000,YES,2246.745759,OK
754,APP-COM,2.022134,6.661483,UAV-020,UAV-017,UAV-006,UAV-224,2926.897550,120.000000,1600.000000,YES,3046.897550,OK
755,APP-COM,1.007016,6.958744,UAV-020,UAV-290,UAV-071,UAV-287,3207.490625,120.000000,1600.000000,YES,3327.490625,OK
756,APP-COM,3.480116,7.032772,UAV-233,UAV-031,UAV-007,UAV-284,3127.302856,120.000000,1600.000000,YES,3247.302856,OK
757,APP-COM,4.806986,7.859807,UAV-233,UAV-031,UAV-083,UAV-090,3269.192737,120.000000,1600.000000,YES,3389.192737,OK
758,APP-COM,1.257352,6.546749,UAV-020,UAV-004,UAV-241,UAV-037,2899.908119,120.000000,1600.000000,YES,3019.908119,OK
