request_id,service_id,point_x,point_y,entry_node,target_node,target_x,target_y,path_latency_ms,propagation_ms,processing_ms,orig_total_ms,latency_max_ms,slo_violation,total_ms,status
3725,COM-S03,1.632205,7.661885,UAV-025,UAV-302,20.000000,2.000000,337.0,664.987438,22.500000,687.487438,1000.000000,NO,687.487438,OK
3726,COM-S03,0.136542,6.817715,UAV-013,UAV-200,6.000000,10.000000,117.0,225.919521,22.500000,248.419521,1000.000000,NO,248.419521,OK
3727,COM-S03,2.831949,6.038187,UAV-031,UAV-302,20.000000,2.000000,189.0,391.174864,22.500000,413.674864,1000.000000,NO,413.674864,OK
3728,COM-S03,3.700943,6.281299,UAV-031,UAV-232,2.000000,0.000000,193.0,356.141329,22.500000,378.641329,1000.000000,NO,378.641329,OK
3729,COM-S03,1.160536,7.954630,UAV-025,UAV-284,-2.000000,10.000000,341.0,664.262153,22.500000,686.762153,1000.000000,NO,686.762153,OK
3730,COM-S03,3.275075,6.191212,UAV-031,UAV-037,6.000000,5.000000,196.0,380.631763,22.500000,403.131763,1000.000000,NO,403.131763,OK
3731,COM-S03,3.790823,6.512052,UAV-233,UAV-054,12.000000,-5.000000,332.0,621.064067,22.500000,643.564067,1000.000000,NO,643.564067,OK
3732,COM-S03,0.871547,6.363071,UAV-020,UAV-286,1.000000,5.000000,285.0,615.766912,22.500000,638.266912,1000.000000,NO,638.266912,OK
3733,COM-S03,3.664687,6.508326,UAV-233,UAV-054,12.000000,-5.000000,334.0,649.619644,22.500000,672.119644,1000.000000,NO,672.119644,OK
3734,COM-S03,1.521396,7.001195,UAV-025,UAV-065,15.000000,-5.000000,344.0,718.398877,22.500000,740.898877,1000.000000,NO,740.898877,OK
3735,COM-S03,0.024883,6.527418,UAV-020,UAV-286,1.000000,5.000000,289.0,562.539325,22.500000,585.039325,1000.000000,NO,585.039325,OK
3736,COM-S03,3.648413,7.166687,UAV-233,UAV-107,28.000000,-1.000000,336.0,666.686068,22.500000,689.186068,1000.000000,NO,689.186068,OK
3737,COM-S03,3.125512,7.733939,UAV-233,UAV-037,6.000000,5.000000,337.0,690.263496,22.500000,712.763496,1000.000000,NO,712.763496,OK
3738,COM-S03,0.886735,6.943795,UAV-020,UAV-286,1.000000,5.000000,293.0,598.412278,22.500000,620.912278,1000.000000,NO,620.912278,OK
3739,COM-S03,0.887818,6.767297,UAV-020,UAV-286,1.000000,5.000000,297.0,578.545827,22.500000,601.045827,1000.000000,NO,601.045827,OK
3740,COM-S03,1.337555,7.528061,UAV-025,UAV-054,12.000000,-5.000000,348.0,694.241207,22.500000,716.741207,1000.000000,NO,716.741207,OK
